"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L45368","DocumentBuilderImpl","org.apache.xerces.jaxp.DocumentBuilderImpl","L44264","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\jaxp\DocumentBuilderImpl.java","56","1","372","2","0.298864","3","9","3","0.192429","0.236607","61","53","2","6","5","42","22","1","5","35","51","0.272727","0.204947","58","33","3","8","0.204947","58","1","1","0","0","1","225","317","20","3","17","3","16","0","10","4","16","106","3","10","4","225","317","20","3","17","3","16","0","10","4","16","106","3","10","4","0","2","58","8","3","1","0","9","18","1","1","5","0","2","1","0","27","0","0","2","0","0","0","0","0","0","0","0","0","0","5","0"
"L45523","JAXPValidatorComponent","org.apache.xerces.jaxp.JAXPValidatorComponent","L44264","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\jaxp\JAXPValidatorComponent.java","84","1","597","2","0.0473469","1","4","1","0.0194553","0.0306748","10","10","1","3","3","21","15","5","4","13","28","0.214286","0.394595","73","62","3","11","0.292842","135","3","5","0","0","2","112","217","16","7","13","4","15","0","13","2","37","48","0","35","5","326","514","33","17","20","11","48","0","39","3","128","162","7","119","9","0","0","116","2","17","0","0","6","11","9","3","0","0","1","2","0","86","2","0","0","0","1","0","0","0","0","0","0","0","0","14","0"
"L45862","SAXParserFactoryImpl","org.apache.xerces.jaxp.SAXParserFactoryImpl","L44264","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\jaxp\SAXParserFactoryImpl.java","43","1","197","2","0","0","0","0","0","0","0","0","1","4","1","26","1","2","1","3","11","0.5","0.27027","40","32","4","4","0.27027","40","0","0","0","0","0","108","155","7","2","7","2","8","0","7","3","8","50","0","7","3","108","155","7","2","7","2","8","0","7","3","8","50","0","7","3","0","4","16","3","6","1","0","5","0","2","0","0","0","0","4","0","15","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0"
"L45880","SAXParserImpl","org.apache.xerces.jaxp.SAXParserImpl","L44264","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\jaxp\SAXParserImpl.java","64","1","655","2","0.359785","7","33","11","0.25","0.323185","148","138","1","2","2","34","21","2","4","36","53","0.4","0.292135","78","51","6","9","0.217949","119","1","2","0","0","2","189","299","18","7","15","7","17","0","14","2","17","91","3","14","2","427","592","68","26","18","12","34","0","21","8","147","204","10","123","21","0","5","145","11","14","3","0","12","62","7","0","4","0","3","4","0","51","0","0","1","0","2","0","0","5","0","1","0","0","0","23","0"
"L45518","SchemaValidatorConfiguration","org.apache.xerces.jaxp.SchemaValidatorConfiguration","L44264","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\jaxp\SchemaValidatorConfiguration.java","34","1","152","2","0","0","0","0","0","0","0","0","0","3","2","11","7","2","2","5","8","0.75","0.46729","50","48","3","1","0.46729","50","1","1","0","0","1","57","119","11","2","11","2","3","0","3","0","3","20","0","3","0","57","119","11","2","11","2","3","0","3","0","3","20","0","3","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0"
"L45570","TeeXMLDocumentFilterImpl","org.apache.xerces.jaxp.TeeXMLDocumentFilterImpl","L44264","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\jaxp\TeeXMLDocumentFilterImpl.java","38","1","174","2","0","0","0","0","0","0","0","0","1","0","0","22","11","2","2","16","38","0.0869565","0.189655","22","22","2","21","0.189655","22","2","3","1","1","1","94","137","3","3","3","3","22","0","22","3","22","38","0","22","3","94","137","3","3","3","3","22","0","22","3","22","38","0","22","3","0","0","48","0","0","0","0","0","0","0","0","0","0","1","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L45457","UnparsedEntityHandler","org.apache.xerces.jaxp.UnparsedEntityHandler","L44264","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\jaxp\UnparsedEntityHandler.java","41","1","259","2","0.0498915","1","2","1","0.0502283","0.0658683","11","11","2","1","1","52","10","3","5","21","49","0.178571","0.125654","24","23","5","23","0.125654","24","2","4","0","0","2","167","219","6","2","4","2","28","0","27","2","28","55","2","27","2","167","219","6","2","4","2","28","0","27","2","28","55","2","27","2","0","0","67","1","1","1","0","1","8","0","1","0","0","0","0","0","51","0","0","0","0","1","0","0","0","0","1","0","0","0","6","0"
"L48882","AbstractDOMParser","org.apache.xerces.parsers.AbstractDOMParser","L48850","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\parsers\AbstractDOMParser.java","86","1","2656","2","0.123483","6","52","14","0.0832361","0.122818","214","190","7","6","6","380","39","10","18","115","161","1","0.33778","785","571","39","0","0.337473","788","2","5","2","5","1","1539","2563","66","5","51","2","46","0","38","3","103","882","7","91","6","1547","2571","68","5","53","2","48","0","39","3","105","883","7","92","6","0","4","170","34","78","17","0","39","65","45","1","36","0","11","6","0","21","5","0","14","0","0","0","0","0","0","7","0","0","0","36","0"
"L6404","AbstractSAXParser","org.apache.xerces.parsers.AbstractSAXParser","L48850","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\parsers\AbstractSAXParser.java","78","1","2401","2","0.37037","18","123","32","0.200086","0.35667","465","377","1","7","6","268","29","8","23","53","105","0.956522","0.51998","1015","697","44","2","0.498102","1050","2","6","3","4","2","937","2139","42","14","27","11","52","0","45","10","109","417","7","98","13","1058","2324","44","33","29","30","79","0","72","11","136","461","7","125","14","0","8","239","18","12","13","0","24","139","1","0","15","0","3","3","0","47","0","0","5","0","2","0","0","0","0","5","0","0","0","33","0"
"L48884","AbstractXMLDocumentParser","org.apache.xerces.parsers.AbstractXMLDocumentParser","L48850","L103","C:\Xerces\xerces-2_11_0\src\org\apache\xerces\parsers\AbstractXMLDocumentParser.java","48","1","810","2","0","0","0","0","0","0","0","0","40","0","0","51","16","5","10","5","56","1","0.795485","599","596","50","0","0.795485","599","1","4","3","15","4","154","763","15","3","4","3","51","0","49","3","57","16","7","53","3","154","763","15","3","4","3","51","0","49","3","57","16","7","53","3","0","0","11","40","40","1","0","0","0","40","1","0","0","1","0","0","0","40","0","0","0","1","0","0","0","0","0","0","0","0","8","0"
